case,scale,ref_modality,config,fold,seed,dice,hd95,gt_boundary_px,pred_boundary_px,gt_area_frac,pred_area_frac,content_w,degenerate,bf1,bf2,bf3,bf5,nsd1,nsd2,nsd3,nsd5,residual_px,residual_p95_px,residual_area_frac,over_depth_p95_px,over_area_ratio,fully_covered
病例15,far,WLI,mmd_fusion_w0.01,2,2,0.939311541799599,29.0,371,331,0.055304633246527776,0.06191677517361111,384,0,0.4017094017094017,0.4888102183108541,0.5514925208245873,0.7598643879868225,0.4017094017094017,0.4886039886039886,0.5512820512820513,0.7606837606837606,2.23606797749979,2.0,0.004537093807480074,7.0,0.12409564684242796,0.0
病例15,far,NBI,mmd_fusion_w0.01,2,2,0.5196130703042136,101.41734766350869,838,507,0.09473334418402778,0.0833401150173611,384,0,0.0642737896494157,0.11950150799521994,0.20513500082822594,0.2657972960015342,0.06394052044609666,0.11821561338289963,0.20297397769516728,0.2617100371747212,53.0,38.202092299581984,0.511632901424583,96.73003318987855,0.39136659746581715,0.0
病例15,near,WLI,mmd_fusion_w0.01,2,2,0.6964473246082414,65.71972434770319,871,489,0.16330973307291666,0.10145399305555555,384,0,0.04595720235530662,0.10480567281498888,0.16711530852506015,0.24003904434321835,0.045588235294117645,0.10441176470588236,0.16691176470588234,0.23676470588235293,57.62811813689564,43.32435804486894,0.43544703293052617,68.0,0.056683692537685314,0.0
病例15,near,NBI,mmd_fusion_w0.01,2,2,0.737422232323194,77.95636355795183,1548,964,0.3114149305555556,0.4047512478298611,384,0,0.03323655832893447,0.0589171974522293,0.10049758172748222,0.14527871054398925,0.03343949044585987,0.0589171974522293,0.10031847133757962,0.14371019108280256,32.526911934581186,24.73863375370596,0.15206881533101047,67.89698078707183,0.4517857142857143,0.0
病例18,far,WLI,mmd_fusion_w0.01,2,2,0.039525691709095596,42.506460711467334,213,345,0.007134331597222222,0.06149631076388889,384,0,0.027191065792668122,0.043010752688172046,0.06906558328496808,0.10346854791299236,0.026881720430107527,0.043010752688172046,0.06810035842293907,0.10215053763440861,26.476404589747453,24.12980199687456,0.8098859315589354,35.12833614050059,8.429657794676807,0.0
病例18,far,NBI,mmd_fusion_w0.01,2,2,0.9364519233575302,10.198039027185569,510,515,0.11017523871527778,0.12236192491319445,384,0,0.2965853658536585,0.433170731707317,0.5229290667831595,0.6652169558935035,0.2965853658536585,0.43317073170731707,0.5229268292682927,0.6653658536585366,3.1622776601683795,2.23606797749979,0.011756740120645082,8.94427190999916,0.12236858303582421,0.0
病例18,near,WLI,mmd_fusion_w0.01,2,2,0.8646924358462829,75.55949126182226,1090,644,0.2966579861111111,0.22845458984375,384,0,0.34486735870818913,0.4195389014315524,0.478058353758907,0.5422257494035634,0.34486735870818913,0.419838523644752,0.4786620530565167,0.5426758938869666,82.73451516749222,64.35060217278468,0.23470647403072423,2.23606797749979,0.0048006583760058525,0.0
病例18,near,NBI,mmd_fusion_w0.01,2,2,0.9565798263194127,10.0,571,511,0.13276502821180555,0.14134385850694445,384,0,0.39292535949703045,0.5770252324037185,0.6576216995894095,0.7889498396875807,0.3927911275415896,0.5767097966728281,0.6571164510166358,0.788354898336414,30.23243291566195,3.5168965524048597,0.012514685600449507,8.54400374531753,0.07713132757828063,0.0
病例23,far,WLI,mmd_fusion_w0.01,2,2,0.8926705429532509,44.553338819890925,1277,573,0.2240532769097222,0.19000244140625,384,0,0.13774296086571364,0.2122739350304277,0.2637381287434677,0.3668538786063046,0.1362162162162162,0.20864864864864865,0.25675675675675674,0.35405405405405405,45.967379738244816,24.667748975069145,0.17516193474181246,8.587744886611352,0.023185422846419276,0.0
病例23,far,NBI,mmd_fusion_w0.01,2,2,5.804504295299486e-12,nan,753,0,0.11683485243055555,0.0,384,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0
