case,scale,ref_modality,config,fold,seed,dice,hd95,gt_boundary_px,pred_boundary_px,gt_area_frac,pred_area_frac,content_w,degenerate,bf1,bf2,bf3,bf5,nsd1,nsd2,nsd3,nsd5,residual_px,residual_p95_px,residual_area_frac,over_depth_p95_px,over_area_ratio,fully_covered
病例12,far,WLI,early_fusion_wli,1,2,0.6529519986677881,22.525499028911863,369,157,0.025994194878472224,0.014553493923611112,384,0,0.07714206997887778,0.15354330708661415,0.2291504813376119,0.3468233927015129,0.0779467680608365,0.1520912547528517,0.2224334600760456,0.3365019011406844,27.65863337187866,19.924858845171276,0.49073832507174536,6.0,0.050613096791025304,0.0
病例12,near,WLI,early_fusion_wli,1,2,0.5528364849855757,75.0213174245794,799,282,0.08968098958333333,0.04444715711805555,384,0,0.0674496731685721,0.13457254781473232,0.1873431533006001,0.2536601551159222,0.0666049953746531,0.1341350601295097,0.1877890841813136,0.2506938020351526,86.81589716175259,66.48308055437865,0.5865849969751966,18.24828759089466,0.08219903206291591,0.0
病例2,far,WLI,early_fusion_wli,1,2,0.40581375309125167,157.77513812718774,304,545,0.026394314236111112,0.09165445963541667,384,0,0.10043935265001946,0.18042723474371802,0.24470283963834097,0.34506149129990504,0.10011778563015312,0.18492343934040048,0.254416961130742,0.3674911660777385,10.04987562112089,8.246211251235321,0.09249743062692703,151.5585695366646,2.565005138746146,0.0
病例2,near,WLI,early_fusion_wli,1,2,0.8985459215381808,16.0,605,370,0.0815768771701389,0.0821261935763889,384,0,0.25384901143352456,0.36898349511766576,0.47913279132791325,0.6095773840448592,0.25435897435897437,0.3671794871794872,0.4748717948717949,0.601025641025641,19.924858845171276,13.45362404707371,0.09842879707373847,11.40175425099138,0.10516252390057361,0.0
病例24,far,WLI,early_fusion_wli,1,2,4.645760743300135e-12,nan,662,0,0.14597574869791666,0.0,384,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0
病例24,near,WLI,early_fusion_wli,1,2,0.8739650760201076,17.824044433288375,741,619,0.1839938693576389,0.17641194661458334,384,0,0.03019519033753909,0.07951662620366076,0.13108049935428326,0.23179467051682812,0.030147058823529412,0.07941176470588235,0.13088235294117648,0.23161764705882354,22.627416997969522,14.142135623730951,0.1440418709225609,15.132745950421556,0.10283439607828683,0.0
病例26,far,WLI,early_fusion_wli,1,2,0.8854250127471578,38.87157067769015,649,403,0.08289930555555555,0.10331217447916667,384,0,0.06579856791352189,0.11787072243346007,0.23268698060941828,0.43726963094293847,0.0655893536121673,0.11787072243346007,0.23098859315589354,0.43250950570342206,7.810249675906654,6.8372875608140555,0.00556282722513089,9.899494936611665,0.25179973821989526,0.0
病例26,near,WLI,early_fusion_wli,1,2,0.8085397939053701,118.77430086801553,657,609,0.10190836588541667,0.1455417209201389,384,0,0.11220196353436185,0.16663298075411528,0.2188635754183569,0.3152751524662078,0.11216429699842022,0.16666666666666666,0.21879936808846762,0.31516587677725116,7.0710678118654755,6.0,0.01836693950888401,112.53352241387472,0.4465295800891728,0.0
病例3,far,WLI,early_fusion_wli,1,2,0.4409799554587934,59.359781178549504,359,469,0.038350423177083336,0.1321682400173611,384,0,0.02062150937992267,0.03153745072273325,0.03639317627944761,0.050291461881357864,0.020531400966183576,0.03140096618357488,0.036231884057971016,0.050724637681159424,11.40175425099138,10.295630140987,0.019628647214854113,49.09175083453431,2.4659593280282937,0.0
病例3,near,WLI,early_fusion_wli,1,2,0.8356738112838373,39.250238814053134,1259,552,0.22747802734375,0.1854248046875,384,0,0.07796547243363652,0.12153899219215454,0.17324430117430348,0.287793235927586,0.07840971838763114,0.11927112092766427,0.1673108779679735,0.2766427388183324,50.91168824543142,35.76027763894988,0.24157052142026653,8.48528137423857,0.05670333601645649,0.0
