case,scale,ref_modality,config,fold,seed,threshold,missed_frac,over_ratio,dice,pred_area_frac
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.05,0.0,1.1805027590435315,0.6288313991570774,0.12059190538194445
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.1,0.0,0.8307786633966892,0.7065193848788974,0.10125054253472222
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.15,0.0,0.6627835683629675,0.7510937140191062,0.09195963541666667
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.2,0.0,0.4874310239117106,0.8040423958550453,0.08226182725694445
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.25,0.0003678724708767627,0.43629675045984057,0.820739994961889,0.07941351996527778
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.3,0.002207234825260576,0.4087063151440834,0.8292484076390866,0.0777859157986111
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.35,0.004782342121397915,0.3868792152053955,0.8355811798577392,0.07643636067708333
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.4,0.00797057020232986,0.3666462293071735,0.841174941508494,0.07514105902777778
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.45,0.009687308399754752,0.2857142857142857,0.8702117342768697,0.07057020399305555
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.5,0.011158798283261802,0.2609442060085837,0.8790537962561777,0.0691189236111111
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.55,0.012385039852851012,0.235683629675046,0.8884231426789012,0.0676540798611111
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.6,0.01483752299202943,0.21030042918454936,0.8974530831049069,0.06611463758680555
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.65,0.018393623543838136,0.17903126916002451,0.9086265607212904,0.06418863932291667
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.7,0.024770079705702025,0.14396076026977314,0.9203795856907743,0.061896430121527776
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.75,0.03274064990803188,0.09773145309625997,0.9368171021322041,0.05889892578125
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.8,0.04831391784181484,0.04647455548743103,0.9525621356185789,0.05520290798611111
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.85,0.07970570202329859,0.023298589822194973,0.9470031545681576,0.05218505859375
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.9,0.1459227467811159,0.012752912323727774,0.9150026274243628,0.04793972439236111
病例15,far,WLI,mmd_fusion_w1e-4,2,2,0.95,0.465113427345187,0.0001226241569589209,0.6969164403203633,0.029588487413194444
病例15,far,NBI,mmd_fusion_w1e-4,2,2,0.05,0.19092275753454077,0.7552437540267736,0.6310264928376342,0.148193359375
病例15,far,NBI,mmd_fusion_w1e-4,2,2,0.1,0.27961915670413057,0.5433459803851385,0.6364556321528162,0.1197170681423611
